"Category ID","Category","Schooling Years Range ID","Schooling Years Range","Sex ID","Sex","Monthly Wage","Workforce","Number of Records","Workforce Total","percentage"
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",1,"0 a 3 Años de Escolaridad",1,"Hombre",3809.4801208166077,127797,359,375212,34.05994477788557
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",1,"0 a 3 Años de Escolaridad",2,"Mujer",2894.2234706869026,247415,700,375212,65.94005522211444
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",2,"4 a 6 Años de Escolaridad",1,"Hombre",5065.791953743403,341227,989,990886,34.436554760083396
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",2,"4 a 6 Años de Escolaridad",2,"Mujer",3430.2642463199927,649659,1846,990886,65.56344523991659
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",3,"7 a 9 Años de Escolaridad",1,"Hombre",5390.4206605917725,896257,2769,2293067,39.08551298326652
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",3,"7 a 9 Años de Escolaridad",2,"Mujer",3872.1186983197426,1396810,4513,2293067,60.91448701673349
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",4,"10 a 12 Años de Escolaridad",1,"Hombre",5608.451488386137,1228747,4020,2968424,41.39391811951392
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",4,"10 a 12 Años de Escolaridad",2,"Mujer",3945.500223317317,1739677,5529,2968424,58.60608188048607
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",5,"13 a 15 Años de Escolaridad",1,"Hombre",5949.602736391456,258808,870,548413,47.19217086392919
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",5,"13 a 15 Años de Escolaridad",2,"Mujer",4630.5237754873015,289605,1011,548413,52.80782913607081
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",6,"16 a 18 Años de Escolaridad",1,"Hombre",7378.4341855007615,602542,2184,1264713,47.64258768590186
4,"Comerciantes, Empleados en Ventas y Agentes de Ventas",6,"16 a 18 Años de Escolaridad",2,"Mujer",5639.579510428575,662171,2313,1264713,52.35741231409814
