"Category ID","Category","Schooling Years Range ID","Schooling Years Range","Sex ID","Sex","Monthly Wage","Workforce","Number of Records","Workforce Total","percentage"
1,"Funcionarios, Directores y Jefes",2,"4 a 6 Años de Escolaridad",1,"Hombre",8256.462548316329,28717,86,44565,64.43846067541793
1,"Funcionarios, Directores y Jefes",2,"4 a 6 Años de Escolaridad",2,"Mujer",6092.349192327108,15848,47,44565,35.56153932458207
1,"Funcionarios, Directores y Jefes",3,"7 a 9 Años de Escolaridad",1,"Hombre",9914.454828004657,80758,308,131657,61.33969329393803
1,"Funcionarios, Directores y Jefes",3,"7 a 9 Años de Escolaridad",2,"Mujer",7384.9249690563665,50899,185,131657,38.66030670606197
1,"Funcionarios, Directores y Jefes",4,"10 a 12 Años de Escolaridad",1,"Hombre",9403.856480333425,229857,765,345108,66.60436732848848
1,"Funcionarios, Directores y Jefes",4,"10 a 12 Años de Escolaridad",2,"Mujer",8341.839793147132,115251,418,345108,33.39563267151153
1,"Funcionarios, Directores y Jefes",5,"13 a 15 Años de Escolaridad",1,"Hombre",7871.458993547668,71757,276,125722,57.07592943160306
1,"Funcionarios, Directores y Jefes",5,"13 a 15 Años de Escolaridad",2,"Mujer",11848.718502733253,53965,169,125722,42.924070568396935
1,"Funcionarios, Directores y Jefes",6,"16 a 18 Años de Escolaridad",1,"Hombre",13014.784777941295,793664,2517,1254718,63.254372695697356
1,"Funcionarios, Directores y Jefes",6,"16 a 18 Años de Escolaridad",2,"Mujer",11237.044526237707,461054,1611,1254718,36.745627304302644
1,"Funcionarios, Directores y Jefes",7,"Más de 18 Años de Escolaridad",1,"Hombre",24564.35838332807,38004,121,70034,54.2650712511066
1,"Funcionarios, Directores y Jefes",7,"Más de 18 Años de Escolaridad",2,"Mujer",8588.482672494536,32030,107,70034,45.734928748893395
