"Category ID","Category","Schooling Years Range ID","Schooling Years Range","Sex ID","Sex","Monthly Wage","Workforce","Number of Records","Workforce Total","percentage"
3,"Trabajadores Auxiliares en Actividades Administrativas",2,"4 a 6 Años de Escolaridad",1,"Hombre",6963.47040281053,41558,138,81541,50.965771820311254
3,"Trabajadores Auxiliares en Actividades Administrativas",2,"4 a 6 Años de Escolaridad",2,"Mujer",4240.561738738964,39983,120,81541,49.034228179688746
3,"Trabajadores Auxiliares en Actividades Administrativas",3,"7 a 9 Años de Escolaridad",1,"Hombre",6270.502482372177,234856,818,536580,43.7690558723769
3,"Trabajadores Auxiliares en Actividades Administrativas",3,"7 a 9 Años de Escolaridad",2,"Mujer",5577.1871611141305,301724,1086,536580,56.2309441276231
3,"Trabajadores Auxiliares en Actividades Administrativas",4,"10 a 12 Años de Escolaridad",1,"Hombre",6111.6853208789,607441,2053,1556405,39.028466241113335
3,"Trabajadores Auxiliares en Actividades Administrativas",4,"10 a 12 Años de Escolaridad",2,"Mujer",5535.355274804945,948964,3383,1556405,60.971533758886665
3,"Trabajadores Auxiliares en Actividades Administrativas",5,"13 a 15 Años de Escolaridad",1,"Hombre",5839.599453711833,164016,577,425086,38.584192375189964
3,"Trabajadores Auxiliares en Actividades Administrativas",5,"13 a 15 Años de Escolaridad",2,"Mujer",6539.482893476846,261070,952,425086,61.415807624810036
3,"Trabajadores Auxiliares en Actividades Administrativas",6,"16 a 18 Años de Escolaridad",1,"Hombre",6640.63837270301,522314,2066,1364058,38.29118703163649
3,"Trabajadores Auxiliares en Actividades Administrativas",6,"16 a 18 Años de Escolaridad",2,"Mujer",6403.3936161113115,841744,3391,1364058,61.70881296836351
3,"Trabajadores Auxiliares en Actividades Administrativas",7,"Más de 18 Años de Escolaridad",2,"Mujer",13852.469462540717,4912,33,11675,42.0728051391863
